name,cost,champName,skinType,skinLine,date
"Pentakill Yorick",975,yorick,,"pentakill","June 22, 2011"
"Executioner Mundo",520,dr-mundo,Legacy,"executioner-mundo","June 17, 2011"
"Commando Lux",520,lux,,"commando","June 17, 2011"
"Ravager Nocturne",520,nocturne,,"ravager","June 13, 2011"
"Blood Moon Shen",750,shen,,"blood-moon","June 7, 2011"
"Gothic Orianna",520,orianna,,"gothic","June 1, 2011"
"Sewn Chaos Orianna",520,orianna,,"sewn-chaos","June 1, 2011"
"Frostfire Annie",975,annie,,"frostfire","May 24, 2011"
"Road Warrior Miss Fortune",520,miss-fortune,Legacy,"road-warrior","May 24, 2011"
"Ninja Rammus",975,rammus,,"ninja","May 18, 2011"
"High Noon Twisted Fate",975,twisted-fate,,"high-noon","May 18, 2011"
"Safari Caitlyn",975,caitlyn,Legacy,"safari","May 10, 2011"
"Jaximus",975,jax,,"imus","May 10, 2011"
"Lord Mordekaiser",975,mordekaiser,,"lord","May 10, 2011"
"Vindicator Vayne",520,vayne,Legacy,"vindicator","May 10, 2011"
"Aristocrat Vayne",520,vayne,,"aristocrat","May 10, 2011"
"Tribal Ryze",520,ryze,Legacy,"tribal","May 4, 2011"
"Nunu & Willump Bot",1820,nunu-amp-willump,Legendary,"bot","May 2, 2011"
"Fiddle Me Timbers",750,fiddlesticks,Legacy,"fiddle-me-timbers","April 26, 2011"
"Rumble in the Jungle",975,rumble,,"in-the-jungle","April 26, 2011"
"Bilgerat Rumble",520,rumble,Legacy,"bilgerat","April 26, 2011"
"Dreadknight Nasus",975,nasus,,"dreadknight","April 25, 2011"
"Cottontail Teemo",975,teemo,,"cottontail","April 19, 2011"
"Battleborn Kayle",975,kayle,,"battleborn","April 18, 2011"
"Apocalyptic Brand",750,brand,,"apocalyptic","April 12, 2011"
"Vandal Brand",520,brand,Legacy,"vandal","April 12, 2011"
"Gragas, Esq.",975,gragas,,"esq","April 12, 2011"
"Time Machine Zilean",520,zilean,Legacy,"time-machine","April 12, 2011"
"Urfrider Corki",975,corki,,"urfrider","April 4, 2011"
"Traditional Lee Sin",520,lee-sin,,"traditional","April 1, 2011"
"Acolyte Lee Sin",750,lee-sin,,"acolyte","April 1, 2011"
"Kennen M.D.",975,kennen,,"m-d","March 29, 2011"
"Workshop Shaco",975,shaco,Legacy,"workshop","March 29, 2011"
"Firefang Warwick",975,warwick,,"firefang","March 29, 2011"
"Marble Malphite",520,malphite,Legacy,"marble","March 21, 2011"
"Bandit Sivir",750,sivir,,"bandit","March 21, 2011"
"Leprechaun Veigar",520,veigar,,"leprechaun","March 15, 2011"
"Frozen Terror Nocturne",975,nocturne,,"frozen-terror","March 14, 2011"
